merchant_id,merchant_name,merchant_category,city,country,merchant_rating,joined_date
MERCH-00120,Metro Grocery 3,Groceries,Karachi,Pakistan,4.8,2020-12-17
MERCH-00121,Green Valley Market 3,Groceries,Mawlamyine,Myanmar,4.1,2023-02-11
MERCH-00122,Value Plus Superstore 3,Groceries,Penang,Malaysia,4.4,2022-07-11
MERCH-00123,FarmGate Fresh 3,Groceries,Jaipur,India,4.3,2022-04-12
MERCH-00124,Sunny Grocery 3,Groceries,Singapore,Singapore,3.7,2022-05-12
MERCH-00125,Harvest Mart 3,Groceries,Bago,Myanmar,4.6,2021-03-23
MERCH-00126,City Supermart 4,Groceries,Kuala Lumpur,Malaysia,3.3,2019-08-06
MERCH-00127,FreshMart Grocery 4,Groceries,Kuala Lumpur,Malaysia,3.9,2018-06-12
MERCH-00128,Organic Hub 4,Groceries,Kathmandu,Nepal,4.6,2022-05-08
MERCH-00129,DailyFresh Store 4,Groceries,Bangkok,Thailand,3.5,2019-05-21
MERCH-00130,Global Mart 4,Groceries,Bago,Myanmar,3.5,2019-01-31
MERCH-00131,TechMart Electronics,Shopping,Phuket,Thailand,4.3,2020-02-11
MERCH-00132,FashionHub,Shopping,Bangkok,Thailand,4.3,2019-04-06
MERCH-00133,Style Republic,Shopping,Colombo,Sri Lanka,3.7,2022-07-12
MERCH-00134,Urban Wardrobe,Shopping,Johor Bahru,Malaysia,4.3,2020-11-18
MERCH-00135,MegaMall Shopping,Shopping,Ho Chi Minh City,Vietnam,3.6,2019-09-14
MERCH-00136,HomeDecor Plus,Shopping,Naypyidaw,Myanmar,3.6,2023-01-06
MERCH-00137,GadgetZone,Shopping,Da Nang,Vietnam,4.0,2021-12-01
MERCH-00138,SportsPro Store,Shopping,Karachi,Pakistan,4.6,2021-05-09
MERCH-00139,BabyWorld,Shopping,Hanoi,Vietnam,3.9,2022-06-28
MERCH-00140,PetMart,Shopping,Johor Bahru,Malaysia,3.9,2018-10-04
MERCH-00141,Luxury Boutique,Shopping,Mawlamyine,Myanmar,3.2,2023-02-09
MERCH-00142,Book Palace,Shopping,Jaipur,India,4.3,2021-10-23
MERCH-00143,The Toy Store,Shopping,Colombo,Sri Lanka,4.5,2020-11-29
MERCH-00144,JewelCraft,Shopping,Pokhara,Nepal,4.0,2023-05-05
MERCH-00145,FurniHouse,Shopping,Pokhara,Nepal,3.9,2019-07-06
MERCH-00146,AutoParts Pro,Shopping,Mandalay,Myanmar,4.0,2023-03-10
MERCH-00147,Kitchen & More,Shopping,Kathmandu,Nepal,3.7,2020-12-03
MERCH-00148,OfficeSupply Hub,Shopping,Lahore,Pakistan,4.1,2018-05-02
MERCH-00149,WatchCo,Shopping,Colombo,Sri Lanka,3.9,2020-09-06
MERCH-00150,Designer Closet,Shopping,Bandung,Indonesia,3.1,2019-08-03
MERCH-00151,TechMart Electronics 2,Shopping,Khon Kaen,Thailand,5.0,2023-06-17
MERCH-00152,FashionHub 2,Shopping,Lahore,Pakistan,3.8,2020-03-04
MERCH-00153,Style Republic 2,Shopping,Taunggyi,Myanmar,3.9,2022-01-07
MERCH-00154,Urban Wardrobe 2,Shopping,Quezon City,Philippines,3.5,2020-08-06
MERCH-00155,MegaMall Shopping 2,Shopping,Mawlamyine,Myanmar,3.5,2019-10-16
MERCH-00156,HomeDecor Plus 2,Shopping,Manila,Philippines,3.6,2022-01-13
MERCH-00157,GadgetZone 2,Shopping,Da Nang,Vietnam,4.5,2019-02-10
MERCH-00158,SportsPro Store 2,Shopping,Pattaya,Thailand,3.6,2018-12-25
MERCH-00159,BabyWorld 2,Shopping,Bangkok,Thailand,3.4,2020-03-16
MERCH-00160,PetMart 2,Shopping,Surabaya,Indonesia,4.1,2018-11-03
MERCH-00161,Luxury Boutique 2,Shopping,Lahore,Pakistan,3.6,2021-07-13
MERCH-00162,Book Palace 2,Shopping,Delhi,India,4.0,2019-07-03
MERCH-00163,The Toy Store 2,Shopping,Da Nang,Vietnam,4.2,2020-07-23
MERCH-00164,JewelCraft 2,Shopping,Ahmedabad,India,3.9,2023-02-18
MERCH-00165,FurniHouse 2,Shopping,Phnom Penh,Cambodia,3.8,2023-05-07
MERCH-00166,AutoParts Pro 2,Shopping,Karachi,Pakistan,3.9,2021-03-15
MERCH-00167,Kitchen & More 2,Shopping,Bago,Myanmar,3.6,2023-07-01
MERCH-00168,OfficeSupply Hub 2,Shopping,Siem Reap,Cambodia,3.4,2019-11-28
MERCH-00169,WatchCo 2,Shopping,Myitkyina,Myanmar,4.3,2023-12-28
MERCH-00170,Designer Closet 2,Shopping,Siem Reap,Cambodia,3.4,2019-05-21
MERCH-00171,TechMart Electronics 3,Shopping,Pune,India,3.3,2018-07-16
MERCH-00172,FashionHub 3,Shopping,Da Nang,Vietnam,3.9,2021-08-17
MERCH-00173,Style Republic 3,Shopping,Phuket,Thailand,4.2,2018-12-27
MERCH-00174,Urban Wardrobe 3,Shopping,Karachi,Pakistan,3.7,2020-09-26
MERCH-00175,MegaMall Shopping 3,Shopping,Jakarta,Indonesia,3.5,2019-09-18
MERCH-00176,HomeDecor Plus 3,Shopping,Cebu City,Philippines,4.1,2019-12-24
MERCH-00177,GadgetZone 3,Shopping,Mandalay,Myanmar,3.6,2018-11-05
MERCH-00178,SportsPro Store 3,Shopping,Davao,Philippines,4.7,2021-01-06
MERCH-00179,BabyWorld 3,Shopping,Delhi,India,4.1,2020-11-21
MERCH-00180,PetMart 3,Shopping,Islamabad,Pakistan,3.6,2020-03-18
MERCH-00181,Luxury Boutique 3,Shopping,Delhi,India,3.8,2022-05-29
MERCH-00182,Book Palace 3,Shopping,Penang,Malaysia,4.1,2023-09-23
MERCH-00183,The Toy Store 3,Shopping,Bandung,Indonesia,4.7,2022-03-11
MERCH-00184,JewelCraft 3,Shopping,Naypyidaw,Myanmar,3.8,2021-06-30
MERCH-00185,FurniHouse 3,Shopping,Johor Bahru,Malaysia,4.3,2023-01-29
MERCH-00186,AutoParts Pro 3,Shopping,Davao,Philippines,4.2,2023-05-21
MERCH-00187,Kitchen & More 3,Shopping,Myitkyina,Myanmar,4.2,2022-09-28
MERCH-00188,OfficeSupply Hub 3,Shopping,Kathmandu,Nepal,3.6,2023-09-16
MERCH-00189,WatchCo 3,Shopping,Ho Chi Minh City,Vietnam,4.3,2021-08-20
MERCH-00190,Designer Closet 3,Shopping,Myitkyina,Myanmar,3.8,2023-02-13
MERCH-00191,City Taxi Services,Transportation,Pattaya,Thailand,3.7,2019-11-19
MERCH-00192,QuickRide,Transportation,Kuala Lumpur,Malaysia,3.0,2023-09-28
MERCH-00193,Metro Cab,Transportation,Chittagong,Bangladesh,4.3,2023-01-08
MERCH-00194,Green Cab,Transportation,Delhi,India,4.5,2019-06-17
MERCH-00195,Flash Rides,Transportation,Phnom Penh,Cambodia,3.7,2018-07-07
MERCH-00196,Urban Mover,Transportation,Ahmedabad,India,4.3,2023-01-18
MERCH-00197,Express Auto,Transportation,Johor Bahru,Malaysia,4.6,2020-12-26
MERCH-00198,RideFast,Transportation,Mawlamyine,Myanmar,4.0,2019-03-08
MERCH-00199,Tuk Tuk Express,Transportation,Delhi,India,3.2,2019-03-12
MERCH-00200,MyoTaxi,Transportation,Hyderabad,India,3.6,2021-12-07
MERCH-00201,JetBike Rentals,Transportation,Pokhara,Nepal,3.6,2021-07-27
MERCH-00202,City Bus Pass,Transportation,Bago,Myanmar,4.2,2023-05-30
MERCH-00203,Electric Ride Co,Transportation,Naypyidaw,Myanmar,3.5,2020-04-12
MERCH-00204,Auto Connect,Transportation,Siem Reap,Cambodia,2.5,2022-04-09
MERCH-00205,GrabClone Rides,Transportation,Pattaya,Thailand,4.4,2021-08-24
MERCH-00206,Skyway Shuttle,Transportation,Penang,Malaysia,4.7,2022-08-01
MERCH-00207,Airport Express Limo,Transportation,Jaipur,India,4.5,2023-04-28
MERCH-00208,Daily Commute Co,Transportation,Mawlamyine,Myanmar,4.1,2018-01-16
MERCH-00209,SwiftMove,Transportation,Jakarta,Indonesia,4.0,2021-06-25
MERCH-00210,Town Car Service,Transportation,Johor Bahru,Malaysia,4.0,2023-07-23
MERCH-00211,City Taxi Services 2,Transportation,Bangalore,India,3.3,2018-05-20
MERCH-00212,QuickRide 2,Transportation,Surabaya,Indonesia,3.2,2021-10-30
MERCH-00213,Metro Cab 2,Transportation,Hyderabad,India,4.1,2019-08-03
MERCH-00214,Green Cab 2,Transportation,Jakarta,Indonesia,4.2,2023-11-09
MERCH-00215,Flash Rides 2,Transportation,Penang,Malaysia,3.8,2023-11-05
MERCH-00216,Urban Mover 2,Transportation,Mumbai,India,3.9,2019-03-19
MERCH-00217,Express Auto 2,Transportation,Lahore,Pakistan,3.9,2019-11-16
MERCH-00218,RideFast 2,Transportation,Phnom Penh,Cambodia,3.4,2021-09-14
MERCH-00219,Tuk Tuk Express 2,Transportation,Dhaka,Bangladesh,2.9,2019-10-03
MERCH-00220,MyoTaxi 2,Transportation,Chittagong,Bangladesh,4.2,2021-02-13
MERCH-00221,JetBike Rentals 2,Transportation,Phnom Penh,Cambodia,4.2,2019-02-27
MERCH-00222,City Bus Pass 2,Transportation,Bandung,Indonesia,3.1,2019-03-03
MERCH-00223,Electric Ride Co 2,Transportation,Mandalay,Myanmar,4.5,2022-11-16
MERCH-00224,Auto Connect 2,Transportation,Naypyidaw,Myanmar,3.9,2020-02-12
MERCH-00225,GrabClone Rides 2,Transportation,Penang,Malaysia,3.9,2020-09-15
MERCH-00226,Skyway Shuttle 2,Transportation,Pune,India,3.4,2019-12-15
MERCH-00227,Airport Express Limo 2,Transportation,Mandalay,Myanmar,3.7,2018-06-02
MERCH-00228,Daily Commute Co 2,Transportation,Lahore,Pakistan,3.9,2021-07-08
MERCH-00229,SwiftMove 2,Transportation,Manila,Philippines,4.4,2021-08-30
MERCH-00230,Town Car Service 2,Transportation,Davao,Philippines,3.1,2021-04-23
MERCH-00231,CineWorld,Entertainment,Siem Reap,Cambodia,4.2,2020-12-12
MERCH-00232,Galaxy Cinema,Entertainment,Taunggyi,Myanmar,4.4,2019-11-18
MERCH-00233,Diamond Entertainment Complex,Entertainment,Chiang Mai,Thailand,4.6,2020-10-06
MERCH-00234,Platinum Karaoke,Entertainment,Bandung,Indonesia,4.7,2021-06-10
MERCH-00235,StreamFlix Premium,Entertainment,Lahore,Pakistan,4.1,2020-11-03
MERCH-00236,GameZone,Entertainment,Colombo,Sri Lanka,3.9,2020-09-23
MERCH-00237,Laser Arena,Entertainment,Medan,Indonesia,3.7,2021-08-08
MERCH-00238,VR World,Entertainment,Kolkata,India,3.9,2021-07-07
MERCH-00239,The Comedy Club,Entertainment,Colombo,Sri Lanka,3.8,2022-07-30
MERCH-00240,Escape Room HQ,Entertainment,Singapore,Singapore,4.2,2021-05-24
MERCH-00241,Rooftop Lounge,Entertainment,Delhi,India,4.9,2019-10-03
MERCH-00242,Concert Hall Bookings,Entertainment,Myitkyina,Myanmar,4.1,2021-09-18
MERCH-00243,SkyBar & Grill,Entertainment,Surabaya,Indonesia,4.0,2018-04-18
MERCH-00244,Night Club Prestige,Entertainment,Bali,Indonesia,4.6,2023-06-16
MERCH-00245,Bowl & Chill,Entertainment,Pathein,Myanmar,3.5,2018-10-10
MERCH-00246,Digital Sports Arena,Entertainment,Phuket,Thailand,4.2,2020-11-26
MERCH-00247,Live Music Corner,Entertainment,Manila,Philippines,3.7,2022-11-05
MERCH-00248,Festival Tickets Hub,Entertainment,Phnom Penh,Cambodia,3.9,2018-01-11
MERCH-00249,Museum Pass,Entertainment,Siem Reap,Cambodia,4.2,2022-05-17
MERCH-00250,Art Gallery Entrance,Entertainment,Jaipur,India,4.1,2020-10-05
MERCH-00251,CineWorld 2,Entertainment,Lahore,Pakistan,4.3,2018-10-14
MERCH-00252,Galaxy Cinema 2,Entertainment,Islamabad,Pakistan,3.3,2022-06-03
MERCH-00253,Diamond Entertainment Complex 2,Entertainment,Siem Reap,Cambodia,3.4,2020-06-12
MERCH-00254,Platinum Karaoke 2,Entertainment,Pune,India,3.4,2020-10-21
MERCH-00255,StreamFlix Premium 2,Entertainment,Mandalay,Myanmar,3.3,2020-01-31
MERCH-00256,GameZone 2,Entertainment,Khon Kaen,Thailand,4.5,2023-03-26
MERCH-00257,Laser Arena 2,Entertainment,Penang,Malaysia,4.4,2018-01-29
MERCH-00258,VR World 2,Entertainment,Bali,Indonesia,4.4,2021-01-25
MERCH-00259,The Comedy Club 2,Entertainment,Bandung,Indonesia,2.9,2022-05-27
MERCH-00260,Escape Room HQ 2,Entertainment,Bago,Myanmar,4.2,2019-10-07
MERCH-00261,Rooftop Lounge 2,Entertainment,Myitkyina,Myanmar,4.1,2023-06-14
MERCH-00262,Concert Hall Bookings 2,Entertainment,Naypyidaw,Myanmar,4.1,2019-05-20
MERCH-00263,SkyBar & Grill 2,Entertainment,Penang,Malaysia,4.3,2018-11-19
MERCH-00264,Night Club Prestige 2,Entertainment,Mandalay,Myanmar,3.2,2022-01-25
MERCH-00265,Bowl & Chill 2,Entertainment,Colombo,Sri Lanka,3.8,2023-04-23
MERCH-00266,Digital Sports Arena 2,Entertainment,Chittagong,Bangladesh,4.1,2023-10-04
MERCH-00267,Live Music Corner 2,Entertainment,Kuala Lumpur,Malaysia,3.3,2023-05-30
MERCH-00268,Festival Tickets Hub 2,Entertainment,Jaipur,India,4.1,2020-04-14
MERCH-00269,Museum Pass 2,Entertainment,Pune,India,3.7,2020-11-28
MERCH-00270,Art Gallery Entrance 2,Entertainment,Pune,India,4.2,2021-12-18
MERCH-00271,Sky Wings Airlines,Travel,Singapore,Singapore,4.4,2022-12-21
MERCH-00272,Pacific Travel Agency,Travel,Chittagong,Bangladesh,3.4,2018-11-20
MERCH-00273,Horizon Holidays,Travel,Mawlamyine,Myanmar,3.9,2023-08-08
MERCH-00274,Apex Booking,Travel,Phnom Penh,Cambodia,4.1,2020-02-28
MERCH-00275,Grand Tours,Travel,Naypyidaw,Myanmar,4.4,2018-10-10
MERCH-00276,Rainbow Travel,Travel,Khon Kaen,Thailand,4.0,2022-05-14
MERCH-00277,Voyager Flights,Travel,Jakarta,Indonesia,3.5,2019-05-02
MERCH-00278,Star Alliance Bookings,Travel,Ho Chi Minh City,Vietnam,5.0,2021-05-31
MERCH-00279,Nomad Adventures,Travel,Bandung,Indonesia,3.6,2021-06-20
MERCH-00280,JetSet Travel,Travel,Khon Kaen,Thailand,3.3,2021-02-01
MERCH-00281,Paradise Escapes,Travel,Pokhara,Nepal,3.7,2018-07-31
MERCH-00282,Global Wings,Travel,Penang,Malaysia,4.1,2021-08-20
MERCH-00283,Eastern Airlines,Travel,Davao,Philippines,4.5,2021-01-21
MERCH-00284,Sun Air,Travel,Mandalay,Myanmar,4.1,2021-08-17
MERCH-00285,Budget Jet,Travel,Chittagong,Bangladesh,3.6,2022-04-05
MERCH-00286,Prestige Hotels Group,Travel,Bandung,Indonesia,3.8,2018-05-12
MERCH-00287,Crown Plaza Resorts,Travel,Jaipur,India,3.9,2023-04-30
MERCH-00288,Luxury Escapes,Travel,Quezon City,Philippines,3.8,2018-01-17
MERCH-00289,Discovery Travels,Travel,Kandy,Sri Lanka,4.7,2018-03-21
MERCH-00290,TravelEase Booking,Travel,Phnom Penh,Cambodia,4.3,2019-03-04
MERCH-00291,Airport Transfers Co,Travel,Phuket,Thailand,3.8,2022-04-21
MERCH-00292,Ferry Connect,Travel,Khon Kaen,Thailand,4.7,2019-04-02
MERCH-00293,Train Pass Central,Travel,Chittagong,Bangladesh,3.4,2018-04-16
MERCH-00294,Coastal Cruises,Travel,Colombo,Sri Lanka,4.0,2018-07-16
MERCH-00295,Mountain Trek Tours,Travel,Karachi,Pakistan,4.5,2022-01-02
MERCH-00296,Sky Wings Airlines 2,Travel,Dhaka,Bangladesh,4.2,2023-03-25
MERCH-00297,Pacific Travel Agency 2,Travel,Surabaya,Indonesia,4.4,2023-08-14
MERCH-00298,Horizon Holidays 2,Travel,Surabaya,Indonesia,3.8,2019-08-25
MERCH-00299,Apex Booking 2,Travel,Lahore,Pakistan,3.9,2023-12-21
MERCH-00300,Grand Tours 2,Travel,Ho Chi Minh City,Vietnam,3.8,2022-11-30
MERCH-00301,Rainbow Travel 2,Travel,Kandy,Sri Lanka,4.0,2022-02-25
MERCH-00302,Voyager Flights 2,Travel,Mandalay,Myanmar,3.6,2021-05-30
MERCH-00303,Star Alliance Bookings 2,Travel,Bandung,Indonesia,3.2,2022-09-02
MERCH-00304,Nomad Adventures 2,Travel,Pathein,Myanmar,4.2,2022-01-14
MERCH-00305,JetSet Travel 2,Travel,Medan,Indonesia,4.6,2019-08-26
MERCH-00306,Paradise Escapes 2,Travel,Lahore,Pakistan,3.7,2020-05-29
MERCH-00307,Global Wings 2,Travel,Bandung,Indonesia,4.4,2022-08-28
MERCH-00308,Eastern Airlines 2,Travel,Bali,Indonesia,4.2,2020-09-07
MERCH-00309,Sun Air 2,Travel,Mawlamyine,Myanmar,4.8,2023-11-06
MERCH-00310,Budget Jet 2,Travel,Mumbai,India,3.4,2018-11-12
MERCH-00311,PowerGrid Electric,Utilities,Davao,Philippines,3.3,2023-08-28
MERCH-00312,AquaPure Water Co,Utilities,Singapore,Singapore,3.3,2021-05-26
MERCH-00313,City Gas Supply,Utilities,Bandung,Indonesia,4.2,2021-09-30
MERCH-00314,GreenEnergy Utility,Utilities,Siem Reap,Cambodia,3.0,2023-09-14
